"source_id","level_id","resource_kind","resource_name","resource_path","matched_reason","file_size","fill_confirmed_level","fill_event_id","fill_source_scene","fill_animation_player","fill_commands","fill_switches","fill_variables","fill_notes","status"
"SRC-00001","core","script","BaseCharacter.gd.remap","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/BaseCharacter.gd.remap","core script","48","core","CORE-SYSTEM","CORE-SYSTEM","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00002","core","script","BaseCharacter.gdc","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/BaseCharacter.gdc","core script","32540","core","CORE-SYSTEM","CORE-SYSTEM","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00003","core","script","Player.gd.remap","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/Player.gd.remap","core script","41","core","CORE-SYSTEM","1.tscn","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 地图引用证据：1.tscn -> MAP-CANDIDATE；falling_cutscene.tscn -> MAP-CANDIDATE；06_墜落.tscn -> MAP-CANDIDATE。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00004","core","script","Player.gdc","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/Player.gdc","core script","24587","core","CORE-SYSTEM","1.tscn","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 地图引用证据：1.tscn -> MAP-CANDIDATE；falling_cutscene.tscn -> MAP-CANDIDATE；06_墜落.tscn -> MAP-CANDIDATE。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00005","core","script","PlayerPerson.gd.remap","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/PlayerPerson.gd.remap","core script","47","core","CORE-SYSTEM","CORE-SYSTEM","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00006","core","script","PlayerPerson.gdc","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/PlayerPerson.gdc","core script","11263","core","CORE-SYSTEM","CORE-SYSTEM","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00007","core","script","MainMap.gd.remap","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/MainMap.gd.remap","core script","42","core","SWORD-SEG-SNAKE","04_初戰蛇妖.tscn","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=high；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 地图引用证据：04_初戰蛇妖.tscn -> 剑关-蛇妖段。 地图事件推断为 SWORD-SEG-SNAKE，直接规则推断为 CORE-SYSTEM，最终采用 SWORD-SEG-SNAKE。 推断事件：SWORD-SEG-SNAKE。","ai_analysis_required"
"SRC-00008","core","script","MainMap.gdc","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/MainMap.gdc","core script","25547","core","SWORD-SEG-SNAKE","04_初戰蛇妖.tscn","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=high；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 地图引用证据：04_初戰蛇妖.tscn -> 剑关-蛇妖段。 地图事件推断为 SWORD-SEG-SNAKE，直接规则推断为 CORE-SYSTEM，最终采用 SWORD-SEG-SNAKE。 推断事件：SWORD-SEG-SNAKE。","ai_analysis_required"
"SRC-00009","core","script","MainMapContainer.gd.remap","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/MainMapContainer.gd.remap","core script","51","core","CORE-SYSTEM","CORE-SYSTEM","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00010","core","script","MainMapContainer.gdc","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/MainMapContainer.gdc","core script","738","core","CORE-SYSTEM","CORE-SYSTEM","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 推断事件：CORE-SYSTEM。","ai_analysis_required"
