"baseline_id","level_id","video_file","event_name","source_path","known_timecode","fill_start_timecode","fill_end_timecode","fill_start_frame","fill_end_frame","fill_keyframe_paths","fill_source_scene","fill_notes","status"
"SWORD-SEG-TUTORIAL","sword","sword_video","剑关-教学段","参考资料/视频参考/剑关卡.mp4","","0:26","3:10","780","5700","AI待核：审核网页中按截图/视频核验后补关键帧路径","剑关-洞穴教学","从视频中确认开始/结束时间码和帧号。 AI预填：事件归属=剑关-洞穴教学；时间码模式=missing。 本地视频元数据：1920x1080, fps=30, duration=11:21。 无法从时间码计算帧号。 无法从时间码计算帧号。","confirmed"
"SWORD-SEG-SLIME","sword","sword_video","剑关-史莱姆段","参考资料/视频参考/剑关卡.mp4","","3:10","5:44","5700","10320","AI待核：审核网页中按截图/视频核验后补关键帧路径","剑关-史莱姆段","从视频中确认开始/结束时间码和帧号。 AI预填：事件归属=剑关-史莱姆段；时间码模式=missing。 本地视频元数据：1920x1080, fps=30, duration=11:21。 无法从时间码计算帧号。 无法从时间码计算帧号。","confirmed"
"SWORD-SEG-SNAKE","sword","sword_video","剑关-蛇妖段","参考资料/视频参考/剑关卡.mp4","","5:45","11:20","10350","20400","AI待核：审核网页中按截图/视频核验后补关键帧路径","剑关-蛇妖段","从视频中确认开始/结束时间码和帧号。 AI预填：事件归属=剑关-蛇妖段；时间码模式=missing。 本地视频元数据：1920x1080, fps=30, duration=11:21。 无法从时间码计算帧号。 无法从时间码计算帧号。","confirmed"
"SWORD-SEG-VILLAGE","sword","sword_video","剑关-村庄溶解显现段","参考资料/视频参考/剑关卡.mp4","","不适用：包含在其他片段","不适用：包含在其他片段","不适用","不适用","AI待核：审核网页中按截图/视频核验后补关键帧路径","剑关-村庄溶解显现","从视频中确认开始/结束时间码和帧号。 AI预填：事件归属=剑关-村庄溶解显现；时间码模式=missing。 本地视频元数据：1920x1080, fps=30, duration=11:21。 无法从时间码计算帧号。 无法从时间码计算帧号。 人工备注：删除这个关键点，这个片段包含在同关卡的其他标注片段里。","confirmed"
"GLOVE-SEG-CORRECT","glove","glove_video","手套关-正确路线","参考资料/视频参考/手套关卡全录屏.mkv","","0:03","2:14","150","6700","AI待核：审核网页中按截图/视频核验后补关键帧路径","手套关-正确路线","确认所有正确路线的时间范围。 AI预填：事件归属=手套关-正确路线；时间码模式=missing。 本地视频元数据：2560x1440, fps=50, duration=02:54。 无法从时间码计算帧号。 无法从时间码计算帧号。 人工备注：这个视频的游玩流程就是正确路线，没有错误路线演示","confirmed"
"GLOVE-SEG-WRONG","glove","glove_video","手套关-错误路线/失败反馈","参考资料/视频参考/手套关卡全录屏.mkv","","不适用：原视频无错误路线演示","不适用：原视频无错误路线演示","不适用","不适用","AI待核：审核网页中按截图/视频核验后补关键帧路径","手套关-错误路线/失败反馈","确认错误路线和失败反馈的时间范围。 AI预填：事件归属=手套关-错误路线/失败反馈；时间码模式=missing。 本地视频元数据：2560x1440, fps=50, duration=02:54。 无法从时间码计算帧号。 无法从时间码计算帧号。 人工备注：这个视频的游玩流程就是正确路线，没有错误路线演示","confirmed"
"GLOVE-SEG-GESTURES","glove","glove_video","手套关-手势变化","参考资料/视频参考/手套关卡全录屏.mkv","","0:08，0:11，0:42，1:31，1:59","0:08，0:11，0:42，1:31，1:59","AI待核","AI待核","AI待核：审核网页中按截图/视频核验后补关键帧路径","手套关-手势变化","确认有效字形、截图状态和碰撞变化。 AI预填：事件归属=手套关-手势变化；时间码模式=missing。 本地视频元数据：2560x1440, fps=50, duration=02:54。 无法从时间码计算帧号。 无法从时间码计算帧号。 人工备注：多次变换手势，每次变化几乎就在我标注的前后一秒钟","confirmed"
"HELMET-R1","helmet","helmet_video","头盔-过河第1关完整流程","参考资料/视频参考/四目头盔视频 .mp4","36:57-38:34","36:57","38:34","66510","69420","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第1关","拆分关键帧和截图点。 AI预填：事件归属=四目头盔-过河第1关；时间码模式=range。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R1-WATER","helmet","helmet_video","头盔-第1关水流循环","参考资料/视频参考/四目头盔视频 .mp4","36:57 continuous","36:57","循环段，结束点需人工确认","66510","AI待核","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第1关","确认循环周期、方向、速度和透明度。 AI预填：事件归属=四目头盔-过河第1关；时间码模式=continuous。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。 无法从时间码计算帧号。","confirmed"
"HELMET-R1-LEAVES","helmet","helmet_video","头盔-第1关树叶摆动循环","参考资料/视频参考/四目头盔视频 .mp4","36:57 continuous","36:57","循环段，结束点需人工确认","66510","AI待核","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第1关","确认周期、幅度和层级。 AI预填：事件归属=四目头盔-过河第1关；时间码模式=continuous。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。 无法从时间码计算帧号。","confirmed"
